CÃ³digo UF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
11,99,99,99,99,99,98,98,98,99,99,99,98,97,97,97,97,99
12,91,92,91,89,88,87,88,84,86,86,86,89,91,93,93,94,95
13,95,90,91,91,91,91,91,91,92,92,93,93,93,93,93,94,93
14,86,88,96,87,86,87,86,89,87,89,91,91,88,89,90,88,89
15,85,87,88,87,87,88,90,90,91,92,93,94,94,95,94,94,94
16,97,94,92,94,95,93,91,93,94,94,94,94,93,94,95,95,95
17,98,96,97,97,97,98,98,98,98,98,98,98,99,99,99,99,99
21,94,92,91,91,92,92,93,94,94,95,95,95,96,96,97,97,97
22,93,91,91,91,92,94,94,94,95,95,96,95,93,96,96,97,97
23,96,97,97,98,98,98,98,98,99,99,99,99,99,99,99,99,99
24,91,91,93,95,95,96,96,97,98,99,98,98,98,97,97,98,98
25,93,92,92,92,93,97,98,98,99,99,99,99,99,99,99,99,99
26,96,96,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99
27,95,94,95,96,97,97,96,96,97,98,99,99,98,99,99,99,99
28,88,88,89,90,91,92,96,99,99,99,99,99,99,99,99,99,99
29,90,91,91,92,92,94,93,95,95,95,95,96,96,97,96,96,96
31,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
32,99,99,98,97,97,97,97,96,96,96,97,98,99,100,100,100,99
33,98,98,99,99,99,98,99,98,99,99,99,99,99,99,99,99,99
35,99,99,99,99,99,100,99,99,99,100,100,99,99,99,99,99,99
41,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
42,99,99,99,98,98,98,99,99,99,99,99,99,100,100,100,100,99
43,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100
50,99,99,99,99,98,98,99,98,98,98,98,98,98,98,99,99,99
51,98,99,99,99,99,99,98,98,98,98,99,98,98,98,98,98,98
52,100,100,100,100,100,100,99,100,100,100,100,100,99,100,100,100,100
53,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99
